State_code,State,City,IATA
AK,Alaska,Adak Island,ADK
AK,Alaska,Alakanuk,AUK
AK,Alaska,Ambler,AFM
AK,Alaska,Anaktuvuk Pass,AKP
AK,Alaska,Anchorage,ANC
AK,Alaska,Anchorage,MRI
AK,Alaska,Anchorage,LHD
AK,Alaska,Angoon,AGN
AK,Alaska,Aniak,ANI
AK,Alaska,Atqasuk,ATK
AK,Alaska,Barrow,BRW
AK,Alaska,Bethel,BET
AK,Alaska,Buckland,BVK
AK,Alaska,Chefornak,CFK
AK,Alaska,Chevak,VAK
AK,Alaska,Cold Bay,CDB
AK,Alaska,Cordova,CDV
AK,Alaska,Craig,CGA
AK,Alaska,Deadhorse,SCC
AK,Alaska,Delta Junction Ft Greely,BIG
AK,Alaska,Dillingham,DLG
AK,Alaska,Eek,EEK
AK,Alaska,Elim,ELI
AK,Alaska,Emmonak,ENM
AK,Alaska,English Bay,KEB
AK,Alaska,Fairbanks,FAI
AK,Alaska,Fort Yukon,FYU
AK,Alaska,Galbraith Lake,GBH
AK,Alaska,Galena,GAL
AK,Alaska,Gambell,GAM
AK,Alaska,Golovin,N93
AK,Alaska,Gulkana,GKN
AK,Alaska,Gustavus,GST
AK,Alaska,Haines,HNS
AK,Alaska,Hollis,HYL
AK,Alaska,Homer,HOM
AK,Alaska,Hoonah,HNH
AK,Alaska,Hooper Bay,HPB
AK,Alaska,Huslia,HLA
AK,Alaska,Huslia,HSL
AK,Alaska,Iliamna,ILI
AK,Alaska,Juneau,JNU
AK,Alaska,Kake,KAE
AK,Alaska,Kaktovik,BTI
AK,Alaska,Kalskag,KLG
AK,Alaska,Kaltag,KAL
AK,Alaska,Kasigluk,Z09
AK,Alaska,Kenai,ENA
AK,Alaska,Ketchikan,KTN
AK,Alaska,Kiana,IAN
AK,Alaska,King Cove,KVC
AK,Alaska,King Salmon,AKN
AK,Alaska,Kipnuk,IIK
AK,Alaska,Kivalina,KVL
AK,Alaska,Klawock,AKW
AK,Alaska,Kodiak,ADQ
AK,Alaska,Kodiak,KDK
AK,Alaska,Kodiak,T44
AK,Alaska,Kongiganak,DUY
AK,Alaska,Kotlik,2A9
AK,Alaska,Kotzebue,OTZ
AK,Alaska,Koyuk,KKA
AK,Alaska,Kwethluk,KWT
AK,Alaska,Kwigillingok,GGV
AK,Alaska,Kwigillingok,A85
AK,Alaska,Larsen Bay,2A3
AK,Alaska,Manokotak,MBA
AK,Alaska,Marshall,MDM
AK,Alaska,Marshall,3A5
AK,Alaska,Marshall,MLL
AK,Alaska,McGrath,MCG
AK,Alaska,Metlakatla,MTM
AK,Alaska,Mountain Village,MOU
AK,Alaska,Napakiak,WNA
