"state","Cancel_from/Total","Cancel_to/Total"
"Alabama",0,0
"Alaska",0.09,0.09
"Arizona",0.0248756218905473,0.0514096185737977
"Arkansas",0.0253164556962025,0.0253164556962025
"California",0.0714944649446494,0.0761421319796954
"Colorado",0.011441647597254,0.0434782608695652
"Connecticut",0.843137254901961,0.509803921568627
"District of Columbia",0.193023255813953,0.20979020979021
"Florida",0.077260755048288,0.107111501316945
"Georgia",0.06703146374829,0.105335157318741
"Hawaii",0.0509259259259259,0.0509259259259259
"Idaho",0,0
"Illinois",0.0771899392888118,0.119791666666667
"Indiana",0.031496062992126,0.031496062992126
"Iowa",0.0196078431372549,0.0196078431372549
"Kansas",0,0
"Kentucky",0.0285714285714286,0.0142857142857143
"Louisiana",0.0203045685279188,0.0152284263959391
"Maine",1,1
"Maryland",0.0880281690140845,0.105633802816901
"Massachusetts",0.865,0.73
"Michigan",0.0561122244488978,0.0841683366733467
"Minnesota",0.0452380952380952,0.0595238095238095
"Mississippi",0,0
"Missouri",0.0359820089955022,0.0569715142428786
"Montana",0,0
"Nebraska",0.0175438596491228,0
"Nevada",0.0259179265658747,0.0301724137931034
"New Hampshire",0.75,0.522727272727273
"New Jersey",0.42032967032967,0.266483516483516
"New Mexico",0,0
"New York",0.444582814445828,0.342039800995025
"North Carolina",0.0650095602294455,0.0898661567877629
"North Dakota",0,0
"Ohio",0.12573673870334,0.135559921414538
"Oklahoma",0,0.0072463768115942
"Oregon",0.0119760479041916,0.0179640718562874
"Pennsylvania",0.169540229885057,0.186513629842181
"Rhode Island",0.658823529411765,0.423529411764706
"South Carolina",0,0
"South Dakota",0,0
"Tennessee",0.0422535211267606,0.0563380281690141
"Texas",0.0290753098188751,0.039103481163567
"Utah",0.036697247706422,0.0410958904109589
"Vermont",0.846153846153846,1
"Virginia",0.15929203539823,0.149122807017544
"Washington",0.0342679127725857,0.0342679127725857
"West Virginia",0,0
"Wisconsin",0,0
"Wyoming",0,0
